cin,name,pan,address_norm,incorporated_on,status
L00000MH1946PLC197474,QUADRANT TELEVENTURES LIMITED,,AUTOCARS COMPOUND ADALAT ROAD AURANGABAD UNCLASSIFIED MH 431005,2046-08-02,Active
L00063DL2005PLC139045,AKG EXIM LIMITED,,408 411 PEARLS CORPORATE MANGALAM PLACE SECTOR 3 ROHINI BEHIND KALI MATA TEMPLE DELHI UNCLASSIFIED DL 110085,2005-07-26,Active
L00305MH1973PLC174201,ALKEM LABORATORIES LIMITED,,ALKEM HOUSE SENAPATI BAPAT MARG LOWER PAREL MUMBAI UNCLASSIFIED MH 400013,1973-08-08,Active
L01100DL1974PLC241646,OMANSH ENTERPRISES LIMITED,,SHOP NO QD 37 DDA MARKET PITAMPURA NEW DELHI NORTH WEST UNCLASSIFIED DL 110034,1974-03-20,Active
L01100DL1981PLC012736,SAI BABA INVESTMENT AND COMMERCIALENTERPRISES LIMITED,,33 36 BASEMENT WEST PATEL NAGAR NEW DELHI CENTRAL DELHI UNCLASSIFIED DL 110008,1981-11-30,Active
L01100MH1990PLC055860,WHITE ORGANIC AGRO LIMITED,,312A KAILAS PLAZA VALLABH BAUG LANE GHATKOPAR EAST MUMBAI MUMBAI CITY UNCLASSIFIED MH 400077,1990-03-19,Active
L01100MH1992PLC068417,MARDIA FARMS LIMITED,,MARDIA HOUSE96 C P TANK ROAD MUMBAI UNCLASSIFIED MH 400004,1992-09-04,Strike Off
L01100MH1995PLC092424,EURO AGRO (INDIA) LIMITED,,RAM BAUG MOTI FARMSUNDANI ROAD VILLAGE FAGNE DHULE UNCLASSIFIED MH 424301,1995-09-06,Strike Off
L01100MH1996PLC098836,KACHCHH PLANTATIONS LIMITED,,41 SWETA APARTMENTS DEVIDAS LANE BORIVALI WEST MUMBAI UNCLASSIFIED MH 400103,1996-04-12,Strike Off
L01100MH1996PLC100380,USHER AGRO LIMITED,,212 LAXMI PLAZA LAXMI INDUSTRIAL ESTATE NEW LINK ROAD ANDHERI WEST MUMBAI MUMBAI CITY UNCLASSIFIED MH 400053,1996-06-20,Active
L01100MH1998PLC117343,NOHA MARKETING (INDIA) LIMITED,,JAI BAJRANG HSG SOCIETY PARK SITE VIKHROLI POWAI ROAD VIKHROLI WEST MUMBAI UNCLASSIFIED MH 400079,1998-12-04,Active
L01100MH1999PLC118142,MAHADHAN PI-GO FARMS LIMITED,,PRATIBHA NAGAR NEAR GOYANKA NAGAR MURTIZAPUR DIST AKOLA AKOLA UNCLASSIFIED MH 000000,1999-02-04,Active
