cin,name,status,roc
L01100MH1992PLC068417,MARDIA FARMS LIMITED,Strike Off,RoC-Mumbai
L01100MH1995PLC092424,EURO AGRO (INDIA) LIMITED,Strike Off,RoC-Mumbai
L01100MH1996PLC098836,KACHCHH PLANTATIONS LIMITED,Strike Off,RoC-Mumbai
L01110MH1994PLC083443,RAMDEOBABA AGROCHEM LIMITED,Strike Off,RoC-Mumbai
L01110MH1995PLC086832,RISHI AGRO FOODS LIMITED,Strike Off,RoC-Mumbai
L01110MH1995PLC091675,VIVALDI AGRO FARMS LIMITED,Strike Off,RoC-Mumbai
L01110MH1996PLC096747,RASAL AGRO INDUSTRIES LIMITED,Strike Off,RoC-Mumbai
L01117WB1993PLC058646,SCINTIFIC AGRO HERBAL & PLANTATION LTD.,Strike Off,RoC-Kolkata
L01120MH1995PLC093138,WELLWORTH FLORICULTURE LIMITED,Strike Off,RoC-Mumbai
L01122WB1995PLC072360,QUALITY FRITES LIMITED,Strike Off,RoC-Kolkata
L01130MH1990PLC056285,CAVENDISH AGRO MILLS LIMITED,Strike Off,RoC-Mumbai
L02001WB2000PLC091625,DIPHU PLYWOOD MANUFACTURING LIMITED,Strike Off,RoC-Kolkata
L05000MH1994PLC080033,ASIAN FISHERIES LIMITED,Strike Off,RoC-Mumbai
L05005WB1992PLC054661,NORTH BENGAL PISCICULTURE & FOREST COMPANY LTD,Strike Off,RoC-Kolkata
L10100DL1998PLC095131,KUMAUN MINERALS AND CHEMICALS (INDIA) LIMITED.,Strike Off,RoC-Delhi
L10200WB1945PLC012217,MADHABPUR COAL CO LTD,Strike Off,RoC-Kolkata
L11201WB1984PLC037705,BOEING INDIA LTD,Strike Off,RoC-Kolkata
L11202WB1974PLC029309,UTKAL GASES LTD,Strike Off,RoC-Kolkata
L15100MH1992PLC067956,RELIC FOODS LIMITED,Strike Off,RoC-Mumbai
L15100MH1999PLC122483,PRALSHAR BIOTEC LIMITED,Strike Off,RoC-Mumbai
L15100MH2000PLC127460,WELWORTH NETWORKS LIMITED,Strike Off,RoC-Mumbai
L15142DL1992PLC049498,CHAND VANASPATI LIMITED,Strike Off,RoC-Delhi
L15200MH1996PLC102332,ADITI BIO-TECH LIMITED,Strike Off,RoC-Mumbai
L15209MH1995PLC094262,HASWANI AGRO PRODUCTS LIMITED,Strike Off,RoC-Mumbai
L15312WB1986PLC040176,CHANDAUSI RICE MILLS LTD,Strike Off,RoC-Kolkata
L15412WB1998PLC087077,GOLDEN CRUST FOODS LIMITED,Strike Off,RoC-Kolkata
L15491WB1900PLC000753,RAJNAGARTEA CO.LIMITED.,Strike Off,RoC-Kolkata
L15491WB1989PLC046774,ANUVESTA INDIA LTD.,Strike Off,RoC-Kolkata
L15491WB1994PLC062095,T & I PLANTATIONS LTD.,Strike Off,RoC-Kolkata
L15491WB1995PLC075587,SBG PLANTATIONS LTD,Strike Off,RoC-Kolkata
L15491WB1996PLC081663,A M TEA LIMITED,Strike Off,RoC-Kolkata
L15494MH1992PTC070066,PAWAN PROTEINS (INDIA) LIMITED,Strike Off,RoC-Mumbai
L17110MH1995PLC084223,SERENE COTSYNTH LIMITED,Strike Off,RoC-Mumbai
L17110MH1995PLC095335,TREND COTEX LIMITED,Strike Off,RoC-Mumbai
L17115WB1996PLC076466,EASTREN SPINNERS LTD,Strike Off,RoC-Kolkata
L17125WB1951PLC019951,CENTRAL GUNNY EXPORTS CO LTD,Strike Off,RoC-Kolkata
L17230MH1999PLC120138,SEAGULL PRODUCTS LIMITED,Strike Off,RoC-Mumbai
L17232WB1993PLC058518,KAJARIA ROPES & CORDAGE LTD.,Strike Off,RoC-Kolkata
L17232WB1995PLC075846,ASHIM KUMAR KAR EXPORTS LTD,Strike Off,RoC-Kolkata
L17239WB1983PLC036020,BROOK HEAVEN SYNTHETIC LTD,Strike Off,RoC-Kolkata
L17290MH1994PLC076336,SONI LABELS LTD.,Strike Off,RoC-Mumbai
L17297WB1939PLC009675,BISHNUPUR COTTON MILLS LTD,Strike Off,RoC-Kolkata
L18101WB1991PLC052602,ARIHANT GARMENTS SALES LTD,Strike Off,RoC-Kolkata
L19202WB1982PLC034688,FLORENCE PIPES LTD,Strike Off,RoC-Kolkata
L20219WB1993PLC060180,ATI EXPORTS LTD.,Strike Off,RoC-Kolkata
L21000MH1996PLC102625,IBL PAPERS LIMITED,Strike Off,RoC-Mumbai
L21010MH1995PLC089834,GENERAL PAPER PLAST LIMITED,Strike Off,RoC-Mumbai
L21098MH1995PLC092627,JAIN BOOK MANUFACTURING COMPANY LIMITED,Strike Off,RoC-Mumbai
L21099WB1981PLC033361,AAPEE PAPER MILLS LTD,Strike Off,RoC-Kolkata
L22200MH1977PLC019885,TORNADO APPLIANCES LIMITED,Strike Off,RoC-Mumbai
L22210MH1998PLC116209,PHENOMENAL PUBLICATIONS LIMITED,Strike Off,RoC-Mumbai
L22212MH1996PLC097737,QUASAR CARDS AND SYSTEMS COMPANY LIMITED,Strike Off,RoC-Mumbai
L23109WB1995PLC071197,LA NOIRE FUELS LTD,Strike Off,RoC-Kolkata
L23209WB1990PLC048972,CCAP INDUSTRIES LTD,Strike Off,RoC-Kolkata
L24100MH1993PLC075845,AGIO DYES AND CHEMICALS LTD,Strike Off,RoC-Mumbai
L24110MH1992PLC069867,EUGENE MARKETING LIMITED,Strike Off,RoC-Mumbai
L24114MH1992PTC067813,TRIA FINE-CHEM LIMITED,Strike Off,RoC-Mumbai
L24114MH1995PLC092835,COLOREX GLOBAL LIMITED,Strike Off,RoC-Mumbai
L24114MH1997PLC106965,INDO-SWISS COLOURS LIMITED,Strike Off,RoC-Mumbai
L24129WB1992PLC057236,INDO-ISREAL FERTILIZERS AND CHEMICALS LTD.,Strike Off,RoC-Kolkata
L24129WB1996PLC081140,PAHARPUR FERTILISERS AND CHEMICALS LTD,Strike Off,RoC-Kolkata
L24134WB1993PLC060768,GUARDIAN PERFORMANCE POLYMERS LTD,Strike Off,RoC-Kolkata
L24221WB1987PLC041974,R.S. PIGMENTS LTD.,Strike Off,RoC-Kolkata
L24224MH1975PLC018128,ANANT DYESTUFF INDUSTRIES LIMITED,Strike Off,RoC-Pune
L24230MH1995PLC091375,GANESH ENERGENE LIMITED,Strike Off,RoC-Mumbai
L24231WB1945PLC012790,CENTRAL BENGAL CHEMICAL WORKS LTD,Strike Off,RoC-Kolkata
L24232WB1987PLC042645,B A B MEDICO LTD,Strike Off,RoC-Kolkata
L24236WB1981PLC033786,BUFFALO DENTAL MANUFACTURING CO (INDIA)LTD,Strike Off,RoC-Kolkata
L24291WB1939PLC009561,BRAHMAPUTRA MATCH WORKS LTD,Strike Off,RoC-Kolkata
L25111WB1996PLC079107,RAGHU BIR INDUSTRIES LTD.,Strike Off,RoC-Kolkata
L25199WB2002PLC094385,MYSORE RUBBERS LIMITED,Strike Off,RoC-Kolkata
L25200MH1987PLC042597,BHOR MARBLEX LTD,Strike Off,RoC-Mumbai
L25200MH1996PLC099165,JAMES POLYMERS LIMITED,Strike Off,RoC-Mumbai
L25200MH2000PLC127204,ABHI-MAN PLASTICS LIMITED,Strike Off,RoC-Mumbai
L25206MH1995PLC092936,ADISH POLYMERS LIMITED,Strike Off,RoC-Mumbai
L25209MH1992PLC065986,JAYSUN PLASTO-MECH ENGINEERING LTD,Strike Off,RoC-Mumbai
L25209WB1982PLC035103,EXTRUSIONS AGRO DRAINAGE LTD,Strike Off,RoC-Kolkata
